Row,Gene_indx,Cluster,DE_Score
Sfi1,8668,1,4.66264959251737
Limk2,5215,1,4.00542939172994
Abhd2,270,1,3.463846944856
Emp1,3108,1,3.19364847870692
Mlph,5795,1,3.18314396899031
Nek6,6269,1,3.16293524481357
Sgsm1,8694,1,3.06472011095948
Hip1r,4349,1,3.03814404326457
Foxa1,3630,1,2.86533876623748
Zcchc8,10983,1,2.81420603117409
Vps37b,10721,1,2.73136965161864
Uggt1,10539,1,2.69977659074423
Ptpn5,7675,1,2.67851668293251
Abcc8,248,1,2.56999658533513
Lars2,5139,1,2.54150659697796
Ccdc162,1555,1,2.53288183375529
Meis1,5665,1,2.52481685629501
Krt7,5089,1,2.50908166611734
Il18rap,4656,1,2.47846840190649
Vwf,10750,1,2.45236138336443
F3,3283,1,2.41346922327971
Zfp664,11173,1,2.40774420360767
Il1rl1,4660,1,2.38599393488584
Denr,2618,1,2.30091117637337
Gns,4013,1,2.27646142303643
Ptpn1,7664,1,2.18932641126695
Mbp,5576,1,2.18816766019205
Clip4,2010,1,2.17576867914533
Vps37a,10720,1,2.17323755869133
Ets2,3233,1,2.17014778043971
Thbs1,9767,2,2.25961985105258
Sema6a,8590,2,1.96442063736493
Wnk2,10834,2,1.78764971456676
Sox10,9185,2,1.78516927704675
1700025G04Rik,42,2,1.67203420274634
Notch1,6410,2,1.60968598210692
Nhsl1,6332,2,1.60767303936358
Espn,3214,2,1.60687771362404
Tsc22d4,10296,2,1.58037549095615
Tiam1,9796,2,1.56171429349678
Gab1,3727,2,1.54667429567091
Sorbs1,9173,2,1.50197558707356
H1f0,4208,2,1.49228257321091
Eno1,3123,2,1.47321637876806
Nfib,6302,2,1.46951674908017
Col16a1,2114,2,1.45047946268691
Ltbp1,5362,2,1.44857049359501
Ankrd54,678,2,1.44194450099895
Vgll4,10694,2,1.43990427071834
Chst3,1930,2,1.41427895239101
Rap1gap,7864,2,1.38205988881892
Pla2g6,7132,2,1.36169619638116
Arhgef28,843,2,1.34919819430668
Myo10,6086,2,1.31244275557204
Col9a3,2139,2,1.31009788520609
Gramd1b,4102,2,1.30990187460495
Slc2a9,8885,2,1.29795039571443
Fam20c,3371,2,1.29173513031443
Rgma,8056,2,1.26004532537282
Fam213a,3374,2,1.25349478619316
Lcn2,5155,3,1.7403807198217
Plet1,7191,3,1.57939917060939
Krt18,5082,3,1.54549660264639
Krt8,5093,3,1.54104415476382
Zc3h12a,10965,3,1.50366853548175
Edn1,2949,3,1.45356926197022
Plet1os,7192,3,1.34953097463221
Nfkbia,6308,3,1.26744454307531
Kcnn4,4920,3,1.26206243243722
Efhd2,2972,3,1.19769879555252
Dusp8,2875,3,1.18747074127924
Klf10,5013,3,1.16901194252321
Fkbp5,3582,3,1.08515039067658
Sik1,8758,3,1.06623689869528
Sdc4,8526,3,1.05478723567378
Ahnak,499,3,1.03144356191544
R3hdm4,7742,3,1.01432277576543
Gramd4,4105,3,0.991346454856856
Abcb9,242,3,0.976719396407888
Kit,5006,3,0.976018538275083
Slc39a14,8935,3,0.97355957660929
Pdrg1,6895,3,0.95357996339155
Mrpl38,5916,3,0.950552581504739
Ntn1,6510,3,0.947194671471414
Smox,9069,3,0.945364432437976
Pde4b,6857,3,0.941283133665857
Trim47,10233,3,0.931770350217648
Ergic1,3191,3,0.924036581209361
Slc25a10,8833,3,0.921454290823175
Scd1,8488,3,0.896779813499687
Porcn,7319,4,0.106455954169409
Mum1l1,6045,4,0.101885468751823
Hgf,4327,4,0.0995046270283406
Gstk1,4150,4,0.0812488994362411
Gng11,3997,4,0.0685809855938008
Egfl6,2983,4,0.0631380368283438
Tro,10267,4,0.0618631808293565
Angptl1,639,4,0.0600485948511197
Ampd2,622,4,0.0589818349468234
Stard8,9385,4,0.0582160798920576
Samd9l,8438,4,0.0569279698182759
9130008F23Rik,178,4,0.0554694392598229
Mettl15,5684,4,0.0536026725193432
Emb,3086,4,0.052728988513778
Naprt,6148,4,0.040466511693067
Sgce,8686,4,0.0388844529586361
Csn1s1,2306,4,0.0386094501778197
Nudt11,6529,4,0.0383104034142325
Ppp6r2,7426,4,0.036033671509528
Ddr2,2561,4,0.0338280687370766
Rasd2,7890,4,0.0332184874662576
Abcb1b,238,4,0.0328393556163164
Adamts6,393,4,0.0307932637404779
Lrrc32,5311,4,0.0303897092137315
Zbtb2,10936,4,0.0291087088459554
Chst2,1929,4,0.0275804478589816
Ifi44,4575,4,0.0257761242804239
Abhd14a,264,4,0.0257605470916036
