Row,Gene_indx,Cluster,DE_Score
Gpx3,135,1,6.58857524895204
Areg,206,1,5.35343555460709
Tmed3,235,1,4.64228342779629
Krt19,102,1,4.62012676292548
Ly6d,154,1,4.51071075821239
Eno1,222,2,1.74227831212769
Npm1,103,2,1.72867678835615
Gm8203,199,2,1.72485915024364
Zmynd8,186,2,1.69652813736746
Mif,189,2,1.62585938213053
Rpl26,164,3,5.00110830356939
Wfdc18,85,3,4.57684925432143
Fos,197,3,2.45051107462574
Rpl35a,151,3,2.37062199981238
Rpl17-ps5,165,3,2.36384191086549
Trf,166,4,4.73289162979491
Vprbp,362,4,2.98987755889664
Csn2,636,4,2.83577076070143
Csn1s1,537,4,2.8130791789529
Spp1,260,4,2.59059413671037
Acta2,182,5,6.83380038914928
Tagln,428,5,5.05304764656578
Tpm2,411,5,4.6311176038977
Sparc,375,5,3.92031014226913
Myl9,1360,5,3.76467675801866
Csn3,143,6,4.07006723972814
1600029D21Rik,129,6,3.60139881065847
Tm4sf1,140,6,3.04229351008185
Lgals3,203,6,2.97125591283783
Lcn2,134,6,2.84391447079118
