Row,Gene_indx,Cluster,DE_Score
CCDC170,5063,1,7.2441511589429
RP11-325O24.5,48848,1,5.40961024181693
RP11-115J23.1,41204,1,5.38204800981342
AC011747.4,34937,1,5.26939582537739
LINC00635,38350,1,4.99027452901963
CD69,3849,2,14.0820987053987
RGS1,1883,2,13.6215268185847
PTPRC,1546,2,13.3035686480601
CD52,12727,2,13.2045230883011
CD3G,10605,2,11.9381652472732
CALD1,5350,3,15.1357238989727
SPARC,4175,3,13.1146820194692
IGFBP7,11116,3,12.9817551995275
COL3A1,12512,3,12.9082745549958
FN1,4455,3,12.4832007075636
OLFM4,2728,4,7.3323924288057
ATP5B,3867,4,4.68123846801213
NUTF2,2741,4,4.46527215414646
NME1,37571,4,4.46228993844779
RPL39,18328,4,4.27124224740038
PIGR,10964,5,10.2563453580992
MUC13,13715,5,8.46302487402269
CDH17,1463,5,8.30630673857142
AGR2,3346,5,8.30064444481434
CEACAM5,3116,5,8.16516569001416
PPBP,11224,6,19.5008477861434
NEXN-AS1,34878,6,14.4583929913407
SLC2A1,4734,6,13.8278106935546
CEACAM6,1714,6,12.2676652318944
TFF3,10526,6,12.1395784885757
FAT1,1630,7,5.29052681984174
EREG,5640,7,4.72055363829543
SLC20A1,8594,7,4.16531135117265
KRT23,3526,7,4.16505358546241
TAF1D,11853,7,3.91569872604127
IFI30,24025,8,13.7541879626829
HLA-DRA,20147,8,13.4525130802225
CD74,400,8,12.1031919083688
HLA-DRB1,17294,8,11.1792612003671
SRGN,5356,8,10.8348822513159
